##################################################################################
## Machine-generated calibration file for WSD Daughtercard
##   (because I dont hate myself)
##
## Date:	February 20, 2014:  1:06PM
## Serial:	0x00014
## Version:	4
## Created By: WARPLab based RF-Loopback BB Calibration
##################################################################################

##################################################################################
@@BAND 00
##################################################################################
@@TX_LOFT ############################################
# Gain, TX_I, TX_Q
641, 0x3D2A5788, 0x3F7E03C3, 0x3F75A759 # MP={-0.03, 2.40}
653, 0x3D4E46CC, 0x3F7E7F59, 0x3F7399D1 # MP={-0.02, 2.90}
665, 0x3D47A0E3, 0x3F7F1B36, 0x3F73FA61 # MP={-0.01, 2.80}
677, 0x3D38F3FE, 0x3F7E8FBC, 0x3F74D09A # MP={-0.02, 2.60}
689, 0x3D408117, 0x3F7F20B0, 0x3F746231 # MP={-0.01, 2.70}
701, 0x3D47A0E3, 0x3F7F1B36, 0x3F73FA61 # MP={-0.01, 2.80}
713, 0x3D31D818, 0x3F7E94CD, 0x3F7538E7 # MP={-0.02, 2.50}
725, 0x3D472B59, 0x3F7E8502, 0x3F74010F # MP={-0.02, 2.80}
737, 0x3D4EC088, 0x3F7F1589, 0x3F7392EC # MP={-0.01, 2.90}
749, 0x3D55E003, 0x3F7F0FAA, 0x3F732BD0 # MP={-0.01, 3.00}
761, 0x3D5BFB63, 0x3F7DDD9D, 0x3F72D3AF # MP={-0.03, 3.10}
773, 0x3D631227, 0x3F7DD75F, 0x3F726DB3 # MP={-0.03, 3.20}

@@RX_LOFT ############################################
# RX_I, RX_Q
0x16, 0x08 # stdIQ={5.88,2.95}

##################################################################################
@@BAND 01
##################################################################################
@@TX_LOFT ############################################
# Gain, TX_I, TX_Q
00, 0x84, 0xA7# -- REPEATED PRINT --
01, 0x84, 0xA7# -- REPEATED PRINT --
02, 0x84, 0xA7# -- REPEATED PRINT --
03, 0x84, 0xA7# -- REPEATED PRINT --
04, 0x84, 0xA7# -- REPEATED PRINT --
05, 0x84, 0xA7# -- REPEATED PRINT --
06, 0x84, 0xA7# -- REPEATED PRINT --
07, 0x84, 0xA7# -- REPEATED PRINT --
08, 0x84, 0xA7# -- REPEATED PRINT --
09, 0x84, 0xA7# -- REPEATED PRINT --
10, 0x84, 0xA7# -- REPEATED PRINT --
11, 0x84, 0xA7# -- REPEATED PRINT --
12, 0x84, 0xA7# -- REPEATED PRINT --
13, 0x84, 0xA7# -- REPEATED PRINT --
14, 0x84, 0xA7# -- REPEATED PRINT --
15, 0x84, 0xA7# -- REPEATED PRINT --
16, 0x84, 0xA7# -- REPEATED PRINT --
17, 0x84, 0xA7# -- REPEATED PRINT --
18, 0x84, 0xA7# -- REPEATED PRINT --
19, 0x84, 0xA7# -- REPEATED PRINT --
20, 0x84, 0xA7# -- REPEATED PRINT --
21, 0x84, 0xA7# -- REPEATED PRINT --
22, 0x84, 0xA7# -- REPEATED PRINT --
23, 0x84, 0xA7# -- REPEATED PRINT --
24, 0x84, 0xA7# -- REPEATED PRINT --
25, 0x84, 0xA7# -- REPEATED PRINT --

@@TX_IQ_IMBALANCE #####################################
# FREQ_MHz, SIN, COS, GAIN
2412, 0xBE54EB13, 0x3F83FE9F, 0x3F7820A8 # MP={0.22, -11.40}
2417, 0xBE546DB6, 0x3F83B0E7, 0x3F78B329 # MP={0.21, -11.40}
2422, 0xBE589A5A, 0x3F83E6A2, 0x3F784DCE # MP={0.22, -11.60}
